Name,Sex,Age,Height,Weight,Team,Year,Season,City,Sport,Event,Medal
Peter Maxwell Evans,M,22,190,77,Australia,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
Peter Maxwell Evans,M,22,190,77,Australia,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
"Raymond Garry ""Ray"" Evans",M,25,176,72,Australia,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Bronze
"Stephen Frederick ""Steve"" Evans",M,21,187,83,Australia,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Bronze
"Suzanne Helen ""Sue"" Fairhurst",F,26,182,68,Australia,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
Dana Faletic,F,27,178,74,Australia,2004,Summer,Athina,Rowing,Rowing Women's Quadruple Sculls,Bronze
"Trisha Nicole ""Trish"" Fallon (-Dykstra)",F,23,190,74,Australia,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze
"Nicholas David ""Nick"" Ffrost",M,21,174,70,Australia,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
"Mervyn David ""Merv"" Finlay",M,27,,,Australia,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,Bronze
Natalie Louise Cook,F,21,181,73,Australia,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
Brett Aitken,M,29,173,65,Australia,2000,Summer,Sydney,Cycling,Cycling Men's Madison,Gold
"Kate Ruth ""Katie"" Allen",F,26,170,65,Australia,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold
John Edward Anderson,M,33,183,89,Australia,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold
"Thomas James ""Tom"" Anderson",M,33,183,89,Australia,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Gold
"Michelle ""Shelley"" Andrews (-Mitchell)",F,24,168,59,Australia,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold
Alyson Regina Annan,F,23,162,65,Australia,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold
Alyson Regina Annan,F,27,162,65,Australia,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold
Peter Thomas Antonie,M,34,183,82,Australia,1992,Summer,Barcelona,Rowing,Rowing Men's Double Sculls,Gold
Duncan John D'Arcy Armstrong,M,20,187,74,Australia,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,Gold
"Jennifer Margaret ""Jenny"" Armstrong",F,30,171,59,Australia,2000,Summer,Sydney,Sailing,Sailing Women's Two Person Dinghy,Gold
Angie Lee Bainbridge,F,18,181,67,Australia,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
"Suzanne Elspeth ""Suzy"" Balogh",F,31,166,85,Australia,2004,Summer,Athina,Shooting,Shooting Women's Trap,Gold
Bronte Amelia Arnold Barratt,F,19,171,59,Australia,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
Ryan Neville Bayley,M,22,182,90,Australia,2004,Summer,Athina,Cycling,Cycling Men's Sprint,Gold
Ryan Neville Bayley,M,22,182,90,Australia,2004,Summer,Athina,Cycling,Cycling Men's Keirin,Gold
Nicole Elise Beck,F,28,168,66,Australia,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold
Dale Begg-Smith,M,21,186,84,Australia,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Men's Moguls,Gold
